Date,Value
29-Apr-1980,3.60
20-May-1980,3.50
2-Jun-1980,3.65
16-Jun-1980,3.60
30-Jun-1980,3.12
24-Jul-1980,3.00
5-Aug-1980,3.68
18-Aug-1980,3.70
2-Sep-1980,3.94
22-Sep-1980,3.74
4-Nov-1980,3.92
16-Apr-1987,3.46
1-May-1987,3.24
15-Apr-1988,3.50
26-Apr-1990,3.06
23-May-1990,2.75
27-Jun-1990,3.37
18-Jul-1990,3.29
15-Aug-1990,2.74
13-Sep-1990,2.89
10-Oct-1990,2.77
14-Nov-1990,2.77
11-Apr-1991,2.54
8-May-1991,2.91
6-Jun-1991,2.87
10-Jul-1991,2.86
8-Aug-1991,2.90
10-Sep-1991,2.81
16-Oct-1991,2.76
12-Nov-1991,2.90
27-Apr-1992,3.14
6-May-1992,3.07
21-May-1992,3.09
18-Jun-1992,2.69
16-Jul-1992,2.80
11-Aug-1992,2.62
10-Sep-1992,2.68
7-Oct-1992,2.73
3-Nov-1992,2.69
3-May-1994,2.85
17-May-1994,2.55
2-Jun-1994,2.56
6-Jul-1994,2.16
3-Aug-1994,2.77
13-Sep-1994,2.77
6-Oct-1994,2.77
3-Nov-1994,2.83
16-Nov-1994,2.94
22-Jun-1995,2.54
23-Aug-1995,2.95
18-Apr-1996,2.60
2-May-1996,2.60
15-May-1996,2.80
28-May-1996,2.80
12-Jun-1996,2.80
10-Jul-1996,2.90
6-Aug-1996,2.70
4-Sep-1996,2.70
1-Oct-1996,2.80
16-Oct-1996,2.60
6-Nov-1996,2.50
23-Apr-1997,2.64
8-May-1997,2.62
21-May-1997,2.75
4-Jun-1997,3.17
17-Jun-1997,2.95
23-Jul-1997,3.10
20-Aug-1997,3.10
23-Sep-1997,3.04
21-Oct-1997,3.03
5-Nov-1997,2.63
16-Apr-1998,2.54
29-Apr-1998,2.59
13-May-1998,2.58
27-May-1998,2.52
9-Jun-1998,2.65
15-Jul-1998,2.48
5-Aug-1998,2.51
2-Sep-1998,2.60
29-Sep-1998,2.67
12-Oct-1998,2.67
3-Nov-1998,2.64
15-Apr-1999,2.76
28-Apr-1999,2.74
11-May-1999,2.73
25-May-1999,2.80
8-Jun-1999,2.56
22-Jun-1999,2.72
20-Jul-1999,2.53
10-Aug-1999,2.62
8-Sep-1999,2.51
5-Oct-1999,2.59
21-Oct-1999,2.59
3-Nov-1999,2.82
13-Apr-2000,2.85
26-Apr-2000,2.91
10-May-2000,2.95
24-May-2000,2.68
7-Jun-2000,2.87
28-Jun-2000,2.70
27-Jul-2000,2.73
25-Aug-2000,2.41
20-Sep-2000,2.83
17-Oct-2000,2.69
2-Nov-2000,2.69
2-May-2001,2.41
15-May-2001,2.46
29-May-2001,2.45
12-Jun-2001,2.33
26-Jun-2001,2.26
25-Jul-2001,2.20
23-Aug-2001,2.51
21-Sep-2001,2.56
18-Oct-2001,2.37
7-Nov-2001,2.37
17-Apr-2002,2.59
1-May-2002,2.61
16-May-2002,2.49
30-May-2002,2.43
13-Jun-2002,2.35
26-Jun-2002,2.50
19-Jul-2002,2.44
30-Aug-2002,2.54
25-Sep-2002,2.52
22-Oct-2002,2.58
5-Nov-2002,2.48
7-May-2003,2.41
21-May-2003,2.45
4-Jun-2003,2.53
18-Jun-2003,2.41
17-Jul-2003,2.47
15-Aug-2003,2.46
11-Sep-2003,2.57
9-Oct-2003,2.49
23-Oct-2003,2.45
12-Nov-2003,2.42
28-Apr-2004,2.32
12-May-2004,2.29
26-May-2004,2.34
9-Jun-2004,2.28
23-Jun-2004,2.30
20-Jul-2004,2.42
24-Aug-2004,2.30
21-Sep-2004,2.17
21-Oct-2004,2.16
3-Nov-2004,2.26
16-Nov-2004,2.28
27-Apr-2005,2.28
11-May-2005,2.34
23-May-2005,2.27
8-Jun-2005,2.33
20-Jun-2005,2.24
22-Jul-2005,2.35
18-Aug-2005,2.26
14-Sep-2005,2.27
12-Oct-2005,2.22
26-Oct-2005,2.09
7-Nov-2005,2.36
12-Apr-2006,2.13
27-Apr-2006,2.14
10-May-2006,2.13
23-May-2006,2.02
6-Jun-2006,2.07
20-Jun-2006,2.10
19-Jul-2006,2.03
17-Aug-2006,2.10
14-Sep-2006,2.01
10-Oct-2006,1.92
24-Oct-2006,2.03
9-Nov-2006,2.09
2-May-2007,2.03
15-May-2007,2.03
29-May-2007,2.07
14-Jun-2007,2.11
9-Jul-2007,2.06
7-Aug-2007,1.97
6-Sep-2007,2.09
4-Oct-2007,2.03
31-Oct-2007,2.08
13-Nov-2007,2.06
22-Apr-2008,2.03
6-May-2008,2.01
21-May-2008,1.98
3-Jun-2008,1.98
17-Jun-2008,1.96
16-Jul-2008,1.98
13-Aug-2008,1.89
11-Sep-2008,1.92
8-Oct-2008,2.15
23-Oct-2008,1.97
5-Nov-2008,2.00
22-Apr-2009,1.87
6-May-2009,2.11
20-May-2009,1.94
2-Jun-2009,1.95
16-Jun-2009,2.11
1-Jul-2009,1.94
28-Jul-2009,1.98
25-Aug-2009,1.94
22-Sep-2009,1.94
22-Oct-2009,1.95
4-Nov-2009,1.77
29-Apr-1980,3.65
20-May-1980,3.60
2-Jun-1980,3.65
16-Jun-1980,3.55
30-Jun-1980,3.54
5-Aug-1980,3.68
2-Sep-1980,3.56
22-Sep-1980,3.84
16-Apr-1987,3.43
1-May-1987,3.21
15-Apr-1988,3.50
26-Apr-1990,3.15
23-May-1990,3.10
27-Jun-1990,3.47
18-Jul-1990,3.38
15-Aug-1990,2.78
13-Sep-1990,2.81
10-Oct-1990,2.79
14-Nov-1990,2.77
11-Apr-1991,2.92
8-May-1991,2.95
6-Jun-1991,2.83
10-Jul-1991,2.93
8-Aug-1991,2.90
10-Sep-1991,2.84
16-Oct-1991,2.76
12-Nov-1991,2.93
27-Apr-1992,3.11
6-May-1992,3.08
21-May-1992,3.15
18-Jun-1992,2.70
16-Jul-1992,2.69
11-Aug-1992,2.64
10-Sep-1992,2.72
7-Oct-1992,2.74
3-Nov-1992,2.72
3-May-1994,2.72
17-May-1994,2.58
2-Jun-1994,2.50
6-Jul-1994,2.24
3-Aug-1994,2.84
13-Sep-1994,2.81
6-Oct-1994,2.78
3-Nov-1994,2.80
16-Nov-1994,2.96
22-Jun-1995,2.38
23-Aug-1995,2.82
18-Apr-1996,2.50
2-May-1996,2.70
15-May-1996,2.80
28-May-1996,2.80
12-Jun-1996,2.80
10-Jul-1996,2.70
6-Aug-1996,2.80
4-Sep-1996,2.70
1-Oct-1996,2.80
16-Oct-1996,2.60
6-Nov-1996,2.70
23-Apr-1997,2.59
8-May-1997,2.60
21-May-1997,2.79
17-Jun-1997,2.81
23-Jul-1997,3.11
20-Aug-1997,3.04
23-Sep-1997,3.13
21-Oct-1997,3.01
5-Nov-1997,2.63
16-Apr-1998,2.52
29-Apr-1998,2.55
13-May-1998,2.57
27-May-1998,2.45
9-Jun-1998,2.69
15-Jul-1998,2.59
5-Aug-1998,2.60
2-Sep-1998,2.60
29-Sep-1998,2.64
12-Oct-1998,2.64
3-Nov-1998,2.71
15-Apr-1999,2.64
28-Apr-1999,2.68
11-May-1999,2.69
25-May-1999,3.08
8-Jun-1999,2.60
22-Jun-1999,2.57
20-Jul-1999,2.52
10-Aug-1999,2.55
8-Sep-1999,2.42
5-Oct-1999,2.58
21-Oct-1999,2.59
3-Nov-1999,2.78
13-Apr-2000,2.84
26-Apr-2000,2.88
10-May-2000,2.67
24-May-2000,2.74
7-Jun-2000,2.97
28-Jun-2000,2.76
27-Jul-2000,2.78
25-Aug-2000,2.50
20-Sep-2000,2.73
17-Oct-2000,2.77
2-Nov-2000,2.65
2-May-2001,2.41
15-May-2001,2.40
29-May-2001,2.48
12-Jun-2001,2.40
26-Jun-2001,2.28
25-Jul-2001,2.57
23-Aug-2001,2.54
21-Sep-2001,2.49
18-Oct-2001,2.34
7-Nov-2001,2.33
17-Apr-2002,2.46
1-May-2002,2.59
16-May-2002,2.50
30-May-2002,2.44
13-Jun-2002,2.27
26-Jun-2002,2.50
18-Jul-2002,2.44
30-Aug-2002,2.52
25-Sep-2002,2.49
22-Oct-2002,2.50
5-Nov-2002,2.47
7-May-2003,2.48
21-May-2003,2.46
4-Jun-2003,2.50
18-Jun-2003,2.43
17-Jul-2003,2.42
15-Aug-2003,2.47
11-Sep-2003,2.55
9-Oct-2003,2.50
23-Oct-2003,2.46
12-Nov-2003,2.44
28-Apr-2004,2.32
12-May-2004,2.24
26-May-2004,2.33
9-Jun-2004,2.32
23-Jun-2004,2.33
20-Jul-2004,2.41
24-Aug-2004,2.32
21-Sep-2004,2.23
21-Oct-2004,2.15
3-Nov-2004,2.23
16-Nov-2004,2.29
27-Apr-2005,2.29
11-May-2005,2.33
23-May-2005,2.27
8-Jun-2005,2.33
20-Jun-2005,2.33
22-Jul-2005,2.44
18-Aug-2005,2.31
14-Sep-2005,2.31
12-Oct-2005,2.21
26-Oct-2005,2.11
7-Nov-2005,2.28
12-Apr-2006,2.13
27-Apr-2006,2.12
10-May-2006,2.14
23-May-2006,2.14
6-Jun-2006,2.12
20-Jun-2006,2.12
19-Jul-2006,2.11
17-Aug-2006,2.15
14-Sep-2006,2.03
10-Oct-2006,1.93
24-Oct-2006,2.01
9-Nov-2006,2.04
2-May-2007,2.02
15-May-2007,2.04
29-May-2007,2.08
14-Jun-2007,2.07
9-Jul-2007,2.01
7-Aug-2007,1.96
6-Sep-2007,2.07
4-Oct-2007,2.04
31-Oct-2007,2.11
13-Nov-2007,2.06
22-Apr-2008,2.03
6-May-2008,2.03
21-May-2008,1.98
3-Jun-2008,1.98
17-Jun-2008,1.97
16-Jul-2008,1.97
13-Aug-2008,1.94
11-Sep-2008,1.98
8-Oct-2008,2.18
23-Oct-2008,1.96
5-Nov-2008,1.87
22-Apr-2009,1.92
6-May-2009,2.11
20-May-2009,1.93
2-Jun-2009,1.95
16-Jun-2009,2.13
1-Jul-2009,2.01
28-Jul-2009,2.03
25-Aug-2009,1.99
22-Sep-2009,1.98
22-Oct-2009,1.92
4-Nov-2009,1.75
7-Apr-2010,2.16
20-Apr-2010,2.00
4-May-2010,1.97
19-May-2010,2.07
2-Jun-2010,1.83
29-Jun-2010,2.04
27-Jul-2010,1.91
24-Aug-2010,1.88
21-Sep-2010,1.99
5-Oct-2010,1.88
19-Oct-2010,1.90
2-Nov-2010,1.98
16-Nov-2010,2.09
27-Apr-2011,1.98
10-May-2011,1.99
25-May-2011,1.93
7-Jun-2011,1.92
21-Jun-2011,1.91
19-Jul-2011,2.00
18-Aug-2011,1.84
13-Sep-2011,1.81
11-Oct-2011,1.81
25-Oct-2011,1.76
9-Nov-2011,1.79
10-Apr-2012,1.84
24-Apr-2012,1.83
9-May-2012,1.85
22-May-2012,1.82
6-Jun-2012,1.79
20-Jun-2012,1.96
17-Jul-2012,1.86
13-Aug-2012,1.88
11-Sep-2012,1.90
9-Oct-2012,1.79
23-Oct-2012,1.81
6-Nov-2012,1.92
24-Apr-2013,1.72
8-May-2013,1.70
22-May-2013,1.72
3-Jun-2013,1.68
19-Jun-2013,1.63
17-Jul-2013,1.67
14-Aug-2013,1.75
11-Sep-2013,1.73
10-Oct-2013,1.35
24-Oct-2013,1.71
6-Nov-2013,1.79
18-Nov-2013,1.73
7-Apr-2010,2.14
20-Apr-2010,2.00
4-May-2010,1.98
19-May-2010,2.04
2-Jun-2010,1.86
29-Jun-2010,2.06
27-Jul-2010,1.92
24-Aug-2010,1.87
21-Sep-2010,1.98
5-Oct-2010,1.90
19-Oct-2010,1.93
2-Nov-2010,1.98
16-Nov-2010,2.15
27-Apr-2011,1.97
10-May-2011,1.99
25-May-2011,1.95
7-Jun-2011,1.95
21-Jun-2011,1.90
19-Jul-2011,2.02
18-Aug-2011,1.93
13-Sep-2011,1.86
11-Oct-2011,1.88
25-Oct-2011,1.75
9-Nov-2011,1.77
10-Apr-2012,1.83
24-Apr-2012,1.81
9-May-2012,1.84
22-May-2012,1.82
6-Jun-2012,1.81
20-Jun-2012,1.95
17-Jul-2012,1.83
13-Aug-2012,1.89
11-Sep-2012,1.90
9-Oct-2012,1.77
23-Oct-2012,1.79
6-Nov-2012,1.89
24-Apr-2013,1.67
8-May-2013,1.68
22-May-2013,1.73
3-Jun-2013,1.65
19-Jun-2013,1.73
17-Jul-2013,1.73
14-Aug-2013,1.81
11-Sep-2013,1.76
10-Oct-2013,1.70
24-Oct-2013,1.73
6-Nov-2013,1.70
18-Nov-2013,1.71
30-Apr-2014,1.87
30-Apr-2014,1.81
15-May-2014,1.86
15-May-2014,1.87
29-May-2014,1.60
29-May-2014,1.60
11-Jun-2014,1.59
11-Jun-2014,1.58
26-Jun-2014,1.53
26-Jun-2014,1.59
23-Jul-2014,1.61
23-Jul-2014,1.62
20-Aug-2014,1.61
20-Aug-2014,1.61
20-Sep-2014,1.66
20-Sep-2014,1.64
15-Oct-2014,1.62
15-Oct-2014,1.62
29-Oct-2014,1.65
29-Oct-2014,1.63
12-Nov-2014,1.79
12-Nov-2014,2.00
5-May-2015,1.60
20-May-2015,1.63
3-Jun-2015,1.66
17-Jun-2015,1.67
1-Jul-2015,1.56
29-Jul-2015,1.65
26-Aug-2015,1.65
23-Sep-2015,1.64
7-Oct-2015,1.68
21-Oct-2015,1.65
4-Nov-2015,1.58
18-Nov-2015,1.44
5-May-2015,1.66
20-May-2015,1.66
3-Jun-2015,1.67
17-Jun-2015,1.69
1-Jul-2015,1.54
29-Jul-2015,1.66
26-Aug-2015,1.65
23-Sep-2015,1.64
7-Oct-2015,1.70
21-Oct-2015,1.65
4-Nov-2015,1.73
18-Nov-2015,1.41
23-Mar-2016,1.72
7-Apr-2016,1.67
20-Apr-2016,1.56
5-May-2016,1.74
18-May-2016,1.74
1-Jun-2016,1.63
29-Jun-2016,1.63
27-Jul-2016,1.57
24-Aug-2016,1.57
21-Sep-2016,1.63
19-Oct-2016,1.65
2-Nov-2016,1.64
16-Nov-2016,1.63
23-Mar-2016,1.63
7-Apr-2016,1.67
20-Apr-2016,1.52
5-May-2016,1.69
18-May-2016,1.75
1-Jun-2016,1.66
29-Jun-2016,1.63
27-Jul-2016,1.59
24-Aug-2016,1.58
21-Sep-2016,1.64
19-Oct-2016,1.61
2-Nov-2016,1.64
16-Nov-2016,1.66